architecture,checkpoint,tag,T,batch,route,session,gpu,gpu_id,torch,cuda,copy_scope,warmup_capture_seconds,engine,round,repeat,wall_ms,cuda_ms,peak_allocated_gib,reserved_gib
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,2,5,21.672997623682022,21.647199630737305,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,2,6,21.577712148427963,21.5482234954834,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,2,7,21.466590464115143,21.44233512878418,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,2,8,21.439488977193832,21.4149112701416,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,2,9,21.476831287145615,21.452800750732422,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,0,21.76782861351967,21.73721694946289,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,1,21.67985588312149,21.654720306396484,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,2,21.744277328252792,21.719039916992188,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,3,22.160232067108154,22.134784698486328,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,4,21.808214485645294,21.782527923583984,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,5,21.67016640305519,21.646207809448242,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,6,21.421555429697037,21.396799087524414,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,7,21.34985476732254,21.324928283691406,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,8,21.58138155937195,21.554912567138672,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,2,9,21.55742421746254,21.531391143798828,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,0,3.4873932600021362,3.4629759788513184,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,1,3.483384847640991,3.4639360904693604,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,2,3.4780092537403107,3.4609920978546143,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,3,3.476738929748535,3.4600958824157715,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,4,3.4941285848617554,3.4703359603881836,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,5,3.4791119396686554,3.4611198902130127,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,6,3.478061407804489,3.4599039554595947,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,2,7,3.4784898161888123,3.461951971054077,0.4665842056274414,0.62890625
